raw_case_id,project_region,assay_panel,sample_matrix,collection_context,lab_window,collection_month,field_team,primary_issue,secondary_issue,difficulty_tier,interference_axis,split_hint,custody_note,action_manifest,score_trace_json
edna_raw_00000,urban_stream,salmonid_spawning,sediment_slurry,thaw_window,overnight_hold,6,moraine,replicate_discordance,none,easy,plain,train,"Accession note for team moraine: salmonid spawning surveillance sample, sediment slurry, received during the overnight hold window. only one of three qPCR replicates crossed threshold Choose the ordered action manifest that best protects reporting quality.",RERUN_PCR|REPEAT_TAXON_PANEL|ESCALATE_SUPERVISOR,"{""ACCEPT_REPORT"": 0.27, ""CLEANUP_INHIBITORS"": 0.35, ""DILUTE_EXTRACT"": 0.25, ""ESCALATE_SUPERVISOR"": 0.85, ""HOLD_REPORT"": 0.25, ""RECOLLECT_SAMPLE"": 0.45, ""REPEAT_TAXON_PANEL"": 1.25, ""RERUN_PCR"": 3.33}"
edna_raw_00001,urban_stream,salmonid_spawning,surface_water,baseflow,split_batch,2,lichen,temp_excursion,panel_mismatch,hard,plain,train,"Field team lichen logged a surface water eDNA sample from the urban stream program for the salmonid spawning panel. ice pack was spent and the receipt temperature was outside the eDNA hold range sample was queued for the wrong taxon panel The lab needs a ranked remediation plan, not just a pass/fail disposition.",QUARANTINE_COLD_CHAIN|ESCALATE_SUPERVISOR|REPEAT_TAXON_PANEL,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 1.258, ""ESCALATE_SUPERVISOR"": 2.096, ""HOLD_REPORT"": 1.72, ""QUARANTINE_COLD_CHAIN"": 3.2, ""RECOLLECT_SAMPLE"": 1.15, ""REPEAT_TAXON_PANEL"": 2.04, ""RERUN_PCR"": 0.08}"
edna_raw_00002,peat_wetland,salmonid_spawning,biofilm_swab,post_rain,weekend_receipt,1,moraine,custody_gap,none,easy,negation,train,"Accession note for team moraine: salmonid spawning surveillance sample, biofilm swab, received during the weekend receipt window. chain-of-custody initials are missing between field transfer and lab receipt The note also says no action is needed for a separate inhibition concern. The supervisor wants the next three QA actions before results are released.",CLARIFY_CUSTODY|HOLD_REPORT|RECOLLECT_SAMPLE,"{""ACCEPT_REPORT"": 0.27, ""CLARIFY_CUSTODY"": 3.25, ""DILUTE_EXTRACT"": 0.2, ""ESCALATE_SUPERVISOR"": 0.95, ""HOLD_REPORT"": 1.55, ""QUARANTINE_COLD_CHAIN"": 0.25, ""RECOLLECT_SAMPLE"": 1.0, ""RERUN_PCR"": 0.08, ""REVIEW_BLANKS"": 0.08}"
edna_raw_00003,coastal_marsh,salmonid_spawning,filter_membrane,baseflow,field_freezer_delay,7,lichen,temp_excursion,inhibition,medium,cross_context,train,"The coastal marsh chain packet describes a filter membrane bottle collected under baseflow conditions for salmonid spawning. ice pack was spent and the receipt temperature was outside the eDNA hold range matrix spike recovered poorly and the qPCR curve is suppressed Because the sample is tied to baseflow and field freezer delay, the lab treats small quality signals conservatively. The supervisor wants the next three QA actions before results are released.",QUARANTINE_COLD_CHAIN|CLEANUP_INHIBITORS|DILUTE_EXTRACT,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 0.15, ""CLEANUP_INHIBITORS"": 2.458, ""DILUTE_EXTRACT"": 2.116, ""ESCALATE_SUPERVISOR"": 1.1, ""HOLD_REPORT"": 1.55, ""QUARANTINE_COLD_CHAIN"": 3.45, ""RECOLLECT_SAMPLE"": 1.15, ""RERUN_PCR"": 1.134, ""REVIEW_BLANKS"": 0.08}"
edna_raw_00004,urban_stream,cyanobacteria_bloom,sediment_slurry,baseflow,same_day,1,lichen,inhibition,custody_gap,medium,negation,train,"Accession note for team lichen: cyanobacteria bloom surveillance sample, sediment slurry, received during the same day window. matrix spike recovered poorly and the qPCR curve is suppressed the split sample was moved to a second cooler without a signed transfer line The note also says no action is needed for a separate replicate discordance concern. The supervisor wants the next three QA actions before results are released.",CLEANUP_INHIBITORS|DILUTE_EXTRACT|CLARIFY_CUSTODY,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 2.108, ""CLEANUP_INHIBITORS"": 3.45, ""DILUTE_EXTRACT"": 2.7, ""ESCALATE_SUPERVISOR"": 0.646, ""HOLD_REPORT"": 0.756, ""RECOLLECT_SAMPLE"": 0.51, ""RERUN_PCR"": 1.55}"
edna_raw_00005,peat_wetland,cyanobacteria_bloom,surface_water,post_rain,same_day,12,delta,custody_gap,none,medium,plain,train,"Accession note for team delta: cyanobacteria bloom surveillance sample, surface water, received during the same day window. the split sample was moved to a second cooler without a signed transfer line The supervisor wants the next three QA actions before results are released.",CLARIFY_CUSTODY|HOLD_REPORT|ESCALATE_SUPERVISOR,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 3.1, ""DILUTE_EXTRACT"": 0.2, ""ESCALATE_SUPERVISOR"": 0.95, ""HOLD_REPORT"": 1.3, ""RECOLLECT_SAMPLE"": 0.75, ""REVIEW_BLANKS"": 0.08}"
edna_raw_00006,coastal_marsh,salmonid_spawning,surface_water,post_rain,split_batch,4,moraine,custody_gap,none,medium,plain,train,"The coastal marsh chain packet describes a surface water bottle collected under post rain conditions for salmonid spawning. chain-of-custody initials are missing between field transfer and lab receipt The lab needs a ranked remediation plan, not just a pass/fail disposition.",CLARIFY_CUSTODY|HOLD_REPORT|RECOLLECT_SAMPLE,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 3.1, ""DILUTE_EXTRACT"": 0.2, ""ESCALATE_SUPERVISOR"": 0.95, ""HOLD_REPORT"": 1.3, ""RECOLLECT_SAMPLE"": 1.0, ""RERUN_PCR"": 0.08, ""REVIEW_BLANKS"": 0.08}"
edna_raw_00007,farm_ditch,freshwater_mussel,biofilm_swab,thaw_window,overnight_hold,9,sedge,weather_dilution,preservation_failure,medium,cross_context,train,"Accession note for team sedge: freshwater mussel surveillance sample, biofilm swab, received during the overnight hold window. snowmelt surge changed conductivity and suspended sediment during collection sample bottle arrived with a loose cap and visible preservative loss Because the sample is tied to thaw window and overnight hold, the lab treats small quality signals conservatively. Choose the ordered action manifest that best protects reporting quality.",RECOLLECT_SAMPLE|RERUN_PCR|ACCEPT_REPORT,"{""ACCEPT_REPORT"": 0.95, ""CLARIFY_CUSTODY"": 0.714, ""DILUTE_EXTRACT"": 0.45, ""HOLD_REPORT"": 0.756, ""QUARANTINE_COLD_CHAIN"": 0.612, ""RECOLLECT_SAMPLE"": 4.308, ""RERUN_PCR"": 2.5}"
edna_raw_00008,farm_ditch,freshwater_mussel,sediment_slurry,algal_bloom_watch,weekend_receipt,11,willow,weather_dilution,none,easy,distractor,train,"Accession note for team willow: freshwater mussel surveillance sample, sediment slurry, received during the weekend receipt window. collection occurred during a fast storm pulse with turbid runoff The GPS point is readable and the jar count matches the cooler manifest. Choose the ordered action manifest that best protects reporting quality.",RERUN_PCR|RECOLLECT_SAMPLE|ACCEPT_REPORT,"{""ACCEPT_REPORT"": 1.07, ""CLARIFY_CUSTODY"": 0.15, ""CLEANUP_INHIBITORS"": 0.35, ""DILUTE_EXTRACT"": 0.7, ""HOLD_REPORT"": 0.25, ""QUARANTINE_COLD_CHAIN"": 0.25, ""RECOLLECT_SAMPLE"": 2.0, ""RERUN_PCR"": 2.25}"
edna_raw_00009,peat_wetland,cyanobacteria_bloom,filter_membrane,baseflow,field_freezer_delay,4,heron,weather_dilution,temp_excursion,hard,distractor,train,"Field team heron logged a filter membrane eDNA sample from the peat wetland program for the cyanobacteria bloom panel. snowmelt surge changed conductivity and suspended sediment during collection cooler logger shows the sample warmed above the custody limit during transport No external source lookup is available to adjudicate the record. The lab needs a ranked remediation plan, not just a pass/fail disposition.",RECOLLECT_SAMPLE|QUARANTINE_COLD_CHAIN|RERUN_PCR,"{""ACCEPT_REPORT"": 0.95, ""CLARIFY_CUSTODY"": 0.15, ""CLEANUP_INHIBITORS"": 0.35, ""DILUTE_EXTRACT"": 0.9, ""ESCALATE_SUPERVISOR"": 1.098, ""HOLD_REPORT"": 1.006, ""QUARANTINE_COLD_CHAIN"": 2.426, ""RECOLLECT_SAMPLE"": 2.612, ""RERUN_PCR"": 2.25, ""REVIEW_BLANKS"": 0.08}"
